"survey","station","counter_ID","time","still_n","feature","x","y","annotation_time","VideoOperatorID","minute"
"REF_FOOTAGE","ref_fu22_4","JD","00:00",9,"BURROW",759,576.5,"29-Jul-2020 18:45:19",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:03",50,"BURROW",1156,674.5,"29-Jul-2020 18:45:28",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:04",55,"BURROW",329,662.5,"29-Jul-2020 18:45:30",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:06",85,"BURROW",350,637.5,"29-Jul-2020 18:45:35",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:08",107,"BURROW",426,667.5,"29-Jul-2020 18:45:38",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:08",112,"BURROW",924,607.5,"29-Jul-2020 18:45:43",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:15",200,"BURROW",427,653.5,"29-Jul-2020 18:45:58",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:16",208,"BURROW",530,575.5,"29-Jul-2020 18:46:02",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:22",283,"BURROW",761,648.5,"29-Jul-2020 18:46:18",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:23",298,"BURROW",218,630.5,"29-Jul-2020 18:46:22",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:35",443,"BURROW",641,620.5,"29-Jul-2020 18:46:47",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:42",529,"BURROW",239,619.5,"29-Jul-2020 18:47:00",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:44",552,"BURROW",477,627.5,"29-Jul-2020 18:47:10",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:53",667,"BURROW",112,570.5,"29-Jul-2020 18:47:28",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:55",692,"BURROW",1110,642.5,"29-Jul-2020 18:47:33",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:55",699,"BURROW",337,591.5,"29-Jul-2020 18:47:36",1,1
"REF_FOOTAGE","ref_fu22_4","JD","00:59",749,"BURROW",1043,650.5,"29-Jul-2020 18:47:46",1,1
