"survey","station","counter_ID","time","still_n","feature","x","y","annotation_time","VideoOperatorID","minute"
"REF_FOOTAGE","ref_fu22_1","MMcA","00:41",524,"BURROW",575,520.5,"05-Aug-2020 08:07:20",3,1
"REF_FOOTAGE","ref_fu22_1","MMcA","01:00",754,"BURROW",647,660.5,"05-Aug-2020 16:05:07",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:03",791,"BURROW",347,568.5,"05-Aug-2020 08:08:19",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:08",860,"BURROW",49,654.5,"05-Aug-2020 08:08:34",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:14",938,"BURROW",834,639.5,"05-Aug-2020 08:08:52",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:14",938,"BURROW",229,400.5,"05-Aug-2020 08:08:53",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:16",953,"BURROW",832,595.5,"05-Aug-2020 08:09:09",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:19",994,"BURROW",346,563.5,"05-Aug-2020 08:09:32",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:27",1089,"BURROW",601,521.5,"05-Aug-2020 08:11:19",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:35",1192,"BURROW",577,496.5,"05-Aug-2020 08:11:45",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:42",1283,"BURROW",234,499.5,"05-Aug-2020 08:12:03",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:51",1392,"BURROW",591,584.5,"05-Aug-2020 08:12:37",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","01:57",1465,"BURROW",825,413.5,"05-Aug-2020 08:12:53",3,2
"REF_FOOTAGE","ref_fu22_1","MMcA","02:03",1544,"BURROW",594,445.5,"05-Aug-2020 08:13:12",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:09",1614,"BURROW",1075,578.5,"05-Aug-2020 08:13:35",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:13",1666,"BURROW",498,553.5,"05-Aug-2020 08:13:47",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:23",1790,"BURROW",719,508.5,"05-Aug-2020 08:14:13",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:34",1931,"BURROW",136,498.5,"05-Aug-2020 08:14:44",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:42",2026,"BURROW",279,614.5,"05-Aug-2020 08:15:23",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:48",2105,"BURROW",515,482.5,"05-Aug-2020 08:15:39",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:50",2134,"BURROW",606,591.5,"05-Aug-2020 08:15:53",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","02:56",2210,"BURROW",683,623.5,"05-Aug-2020 08:16:19",3,3
"REF_FOOTAGE","ref_fu22_1","MMcA","03:00",2259,"BURROW",616,513.5,"05-Aug-2020 08:16:35",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:10",2386,"BURROW",151,650.5,"05-Aug-2020 08:17:35",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:13",2416,"BURROW",441,624.5,"05-Aug-2020 08:17:44",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:14",2433,"BURROW",266,467.5,"05-Aug-2020 08:17:54",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:21",2516,"BURROW",1169,636.5,"05-Aug-2020 08:18:13",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:23",2546,"BURROW",912,517.5,"05-Aug-2020 08:18:29",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:39",2747,"BURROW",395,543.5,"05-Aug-2020 08:20:07",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:49",2871,"BURROW",554,552.5,"05-Aug-2020 08:20:44",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","03:58",2987,"BURROW",352,337.5,"05-Aug-2020 08:21:18",3,4
"REF_FOOTAGE","ref_fu22_1","MMcA","04:00",3013,"BURROW",190,627.5,"05-Aug-2020 08:21:32",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:04",3059,"BURROW",363,533.5,"05-Aug-2020 08:21:50",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:06",3082,"BURROW",128,597.5,"05-Aug-2020 16:07:45",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:08",3102,"BURROW",776,598.5,"05-Aug-2020 08:22:02",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:15",3195,"BURROW",238,521.5,"05-Aug-2020 16:09:29",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:18",3226,"BURROW",1121,502.5,"05-Aug-2020 08:23:04",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:18",3234,"BURROW",450,576.5,"05-Aug-2020 08:23:09",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:22",3288,"BURROW",755,577.5,"05-Aug-2020 08:23:42",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:42",3531,"BURROW",327,572.5,"05-Aug-2020 16:12:43",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","04:44",3552,"BURROW",363,569.5,"05-Aug-2020 08:24:54",3,5
"REF_FOOTAGE","ref_fu22_1","MMcA","05:03",3790,"BURROW",433,660.5,"05-Aug-2020 08:26:06",3,6
"REF_FOOTAGE","ref_fu22_1","MMcA","05:03",3793,"BURROW",290,489.5,"05-Aug-2020 08:26:14",3,6
"REF_FOOTAGE","ref_fu22_1","MMcA","05:06",3830,"BURROW",1080,407.5,"05-Aug-2020 08:26:28",3,6
