"survey","station","counter_ID","time","still_n","feature","x","y","annotation_time","VideoOperatorID","minute"
"REF_FOOTAGE","ref_fu22_2","JD","00:56",705,"BURROW",203,556.5,"29-Jul-2020 17:50:48",1,1
"REF_FOOTAGE","ref_fu22_2","JD","01:05",826,"BURROW",262,569.5,"29-Jul-2020 17:51:08",1,2
"REF_FOOTAGE","ref_fu22_2","JD","01:09",873,"BURROW",1024,634.5,"29-Jul-2020 17:51:19",1,2
"REF_FOOTAGE","ref_fu22_2","JD","01:44",1308,"BURROW",458,561.5,"29-Jul-2020 17:52:35",1,2
"REF_FOOTAGE","ref_fu22_2","JD","02:37",1975,"BURROW",926,542.5,"29-Jul-2020 17:54:46",1,3
"REF_FOOTAGE","ref_fu22_2","JD","02:41",2016,"BURROW",896,484.5,"29-Jul-2020 17:54:54",1,3
"REF_FOOTAGE","ref_fu22_2","JD","02:45",2064,"BURROW",546,614.5,"29-Jul-2020 17:55:02",1,3
"REF_FOOTAGE","ref_fu22_2","JD","02:50",2132,"BURROW",290,558.5,"29-Jul-2020 17:55:12",1,3
"REF_FOOTAGE","ref_fu22_2","JD","03:05",2319,"BURROW",633,614.5,"29-Jul-2020 17:55:36",1,4
"REF_FOOTAGE","ref_fu22_2","JD","04:07",3093,"BURROW",90,562.5,"29-Jul-2020 17:57:48",1,5
"REF_FOOTAGE","ref_fu22_2","JD","04:46",3586,"BURROW",750,616.5,"29-Jul-2020 18:07:58",1,5
"REF_FOOTAGE","ref_fu22_2","JD","04:47",3589,"BURROW",114,565.5,"29-Jul-2020 18:08:01",1,5
"REF_FOOTAGE","ref_fu22_2","JD","05:41",4275,"BURROW",189,565.5,"29-Jul-2020 18:09:27",1,6
"REF_FOOTAGE","ref_fu22_2","JD","06:01",4518,"BURROW",514,610.5,"29-Jul-2020 18:10:15",1,7
"REF_FOOTAGE","ref_fu22_2","JD","06:09",4618,"BURROW",52,604.5,"29-Jul-2020 18:10:30",1,7
"REF_FOOTAGE","ref_fu22_2","JD","06:56",5208,"BURROW",401,596.5,"29-Jul-2020 18:11:51",1,7
"REF_FOOTAGE","ref_fu22_2","JD","07:18",5485,"BURROW",892,594.5,"29-Jul-2020 18:12:39",1,8
"REF_FOOTAGE","ref_fu22_2","JD","07:29",5620,"BURROW",369,611.5,"29-Jul-2020 18:13:09",1,8
"REF_FOOTAGE","ref_fu22_2","JD","07:49",5869,"BURROW",353,599.5,"29-Jul-2020 18:14:02",1,8
"REF_FOOTAGE","ref_fu22_2","JD","07:56",5952,"BURROW",935,628.5,"29-Jul-2020 18:14:20",1,8
