reference	FU	Station	Minute
6.5	2021	1	1
7.2	2021	1	2
10.6	2021	1	3
7.2	2021	1	4
8.6	2021	1	5
9.5	2021	1	6
4.9	2021	1	7
5.6	2021	1	8
6.75	2021	2	1
8	2021	2	2
7	2021	2	3
4.5	2021	2	4
8	2021	2	5
7.5	2021	2	6
9	2021	2	7
10.5	2021	2	8
4.5	2021	3	1
1.4	2021	3	2
4.6	2021	3	3
1.8	2021	3	4
5.5	2021	3	5
8.2	2021	3	6
6	2021	3	7
6	2021	3	8
0.166666666666667	2021	4	1
1.16666666666667	2021	4	2
1.5	2021	4	3
1	2021	4	4
1.5	2021	4	5
1	2021	4	6
0.833333333333333	2021	4	7
0	2021	4	8
3.375	2021	5	1
3.25	2021	5	2
1	2021	5	3
3	2021	5	4
4	2021	5	5
0.75	2021	5	6
1.5	2021	5	7
1.875	2021	5	8
3.3	2021	6	1
5.9	2021	6	2
9.9	2021	6	3
6.1	2021	6	4
4.6	2021	6	5
2.2	2021	6	6
4.1	2021	6	7
13.7	2021	6	8
8.5	2021	7	1
6.66666666666667	2021	7	2
11.1666666666667	2021	7	3
9.83333333333333	2021	7	4
7.83333333333333	2021	7	5
13	2021	7	6
7	2021	7	7
12	2021	7	8
3.9	2021	8	1
2.8	2021	8	2
6.9	2021	8	3
7.7	2021	8	4
9.2	2021	8	5
6.5	2021	8	6
8.7	2021	8	7
8.8	2021	8	8
5.1	2021	9	1
4.3	2021	9	2
1.8	2021	9	3
2.8	2021	9	4
6.1	2021	9	5
7.6	2021	9	6
12	2021	9	7
6.2	2021	9	8
