"RecountID","Video_Line_Name","SurveyID","VideoOperatorID","Minute","BurrowCount","NephropsIn","NephropsOut","StopTime","StartTime","Unusuable"
2,123,"CV20017",8,2,16,0,0,NA,NA,NA
3,123,"CV20017",8,3,10,0,0,NA,NA,NA
4,123,"CV20017",8,4,13,0,0,NA,NA,NA
5,123,"CV20017",8,5,10,0,0,NA,NA,NA
6,123,"CV20017",8,6,9,0,0,NA,NA,NA
7,123,"CV20017",8,7,5,0,0,NA,NA,NA
8,123,"CV20017",8,8,3,0,0,NA,NA,NA
12,123,"CV20017",1,2,10,0,0,NA,NA,NA
13,123,"CV20017",1,3,10,0,0,NA,NA,NA
14,123,"CV20017",1,4,12,0,0,NA,NA,NA
15,123,"CV20017",1,5,9,0,0,NA,NA,NA
16,123,"CV20017",1,6,6,0,0,NA,NA,NA
17,123,"CV20017",1,7,2,0,0,NA,NA,NA
18,123,"CV20017",1,8,2,0,0,NA,NA,NA
22,125,"CV20017",1,2,10,0,0,NA,NA,NA
23,125,"CV20017",1,3,9,0,0,NA,NA,NA
24,125,"CV20017",1,4,7,0,0,NA,NA,NA
25,125,"CV20017",1,5,4,0,0,NA,NA,NA
26,125,"CV20017",1,6,9,0,0,NA,NA,NA
27,125,"CV20017",1,7,2,0,0,NA,NA,NA
28,125,"CV20017",1,8,13,0,0,NA,NA,NA
32,125,"CV20017",6,2,5,0,0,NA,NA,NA
33,125,"CV20017",6,3,6,0,0,NA,NA,NA
34,125,"CV20017",6,4,7,0,0,NA,NA,NA
35,125,"CV20017",6,5,5,0,0,NA,NA,NA
36,125,"CV20017",6,6,10,0,0,NA,NA,NA
37,125,"CV20017",6,7,1,0,0,NA,NA,NA
38,125,"CV20017",6,8,14,0,0,NA,NA,NA
42,126,"CV20017",1,2,12,0,0,NA,NA,NA
43,126,"CV20017",1,3,9,0,0,NA,NA,NA
44,126,"CV20017",1,4,5,0,0,NA,NA,NA
45,126,"CV20017",1,5,7,0,0,NA,NA,NA
46,126,"CV20017",1,6,6,0,0,NA,NA,NA
47,126,"CV20017",1,7,16,0,0,NA,NA,NA
48,126,"CV20017",1,8,8,0,0,NA,NA,NA
52,126,"CV20017",6,2,10,0,0,NA,NA,NA
53,126,"CV20017",6,3,8,0,0,NA,NA,NA
54,126,"CV20017",6,4,4,0,0,NA,NA,NA
55,126,"CV20017",6,5,5,0,0,NA,NA,NA
56,126,"CV20017",6,6,5,0,0,NA,NA,NA
57,126,"CV20017",6,7,11,0,0,NA,NA,NA
58,126,"CV20017",6,8,9,0,0,NA,NA,NA
