"survey","station","counter_ID","time","still_n","feature","x","y","annotation_time","VideoOperatorID","minute"
"REF_FOOTAGE","ref_fu22_9","GR","00:00",13,"BURROW",792,649.5,"04-Aug-2020 13:43:44",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:01",19,"BURROW",920,632.5,"04-Aug-2020 13:43:48",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:01",21,"BURROW",226,538.5,"04-Aug-2020 13:43:52",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:07",96,"BURROW",687,642.5,"04-Aug-2020 13:44:12",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:13",168,"BURROW",784,556.5,"04-Aug-2020 13:44:27",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:18",235,"BURROW",513,469.5,"04-Aug-2020 13:44:48",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:20",261,"BURROW",893,575.5,"04-Aug-2020 13:44:56",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:22",283,"BURROW",1140,570.5,"04-Aug-2020 13:45:05",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:29",370,"BURROW",1044,564.5,"04-Aug-2020 13:45:14",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:33",419,"BURROW",777,539.5,"04-Aug-2020 13:45:21",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:36",456,"BURROW",47,649.5,"04-Aug-2020 13:45:30",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:39",496,"BURROW",51,568.5,"04-Aug-2020 13:45:37",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:45",565,"BURROW",578,551.5,"04-Aug-2020 13:45:46",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:48",610,"BURROW",838,654.5,"04-Aug-2020 13:45:53",8,1
"REF_FOOTAGE","ref_fu22_9","GR","00:53",666,"BURROW",519,481.5,"04-Aug-2020 13:46:07",8,1
