"Video_Line_Name","SurveyID","Cable_Out","Water_Depth_SOL","Field_of_View","Date SOL","Time SOL","Date EOL","Time EOL","Degrees Lat SOL","Minutes Lat SOL","N/S SOL","Degrees Lon SOL","Minutes Lon SOL","E/W SOL","Degrees Lat EOL","Minutes Lat EOL","N/S EOL","Degrees Lon EOL","Minutes Lon EOL","E/W EOL","Easting SOL","Northing SOL","Easting EOL","Northing EOL","Back Up","DVD_number","Comments","Ground","RecountNotes","RecountOverallRatingID","InputComplete","InputtedByID","ValdiatedByID","ValidateComplete","BackupSurveyFootage","VesselID","SpeedComments","VisibilityComments","GroundComments","USBLComments","RecountsValidateComplete","RecountsValdiatedByID","Cable_Out_EOL","ValidStation","INCLUDE_IN_ANALYSIS","Water_Depth_EOL","MarineLitter"
125,"CV20017",221,104,NA,2020-07-15,1899-12-30 23:55:01,2020-07-16,1899-12-30 00:05:00,51,9.80574989318848,"N",-6,37.0054092407227,"W",51,9.93013000488281,"N",-6,37.2047309875488,"W",NA,NA,NA,NA,0,0,"starfish","Smalls",NA,NA,1,12,6,1,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,216,1,1,107.2,0
130,"CV20017",267,115.7,NA,2020-07-16,1899-12-30 00:49:01,2020-07-16,1899-12-30 00:59:00,51,13.4107503890991,"N",-6,33.0295715332031,"W",51,13.4832000732422,"N",-6,33.3022003173828,"W",NA,NA,NA,NA,0,0,"starfish, sea pens","Smalls",NA,NA,1,12,6,1,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,254,1,1,115.4,0
131,"CV20017",228,93.8,NA,2020-07-16,1899-12-30 01:49:01,2020-07-16,1899-12-30 01:58:59,51,13.3804597854614,"N",-6,25.7738609313965,"W",51,13.5144300460815,"N",-6,26.0126895904541,"W",NA,NA,NA,NA,0,0,NA,"Smalls",NA,NA,1,12,6,1,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,228,1,1,96.3,0
132,"CV20017",206,112.9,NA,2020-07-16,1899-12-30 02:46:01,2020-07-16,1899-12-30 02:55:59,51,13.2617998123169,"N",-6,18.3661804199219,"W",51,13.3855400085449,"N",-6,18.5439701080322,"W",NA,NA,NA,NA,0,0,"discarded fish","Smalls",NA,NA,1,12,6,1,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,209,1,1,113.2,0
126,"CV20017",239,108.3,NA,2020-07-16,1899-12-30 03:40:59,2020-07-16,1899-12-30 03:50:59,51,9.31260013580322,"N",-6,21.6871299743652,"W",51,9.45532035827637,"N",-6,21.8959693908691,"W",NA,NA,NA,NA,0,1,"Comparative test tow
Rock at 03:44:08","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","OK","Good","Good","Operational",NA,0,240,1,1,105.3,0
122,"CV20017",220,104.7,NA,2020-07-16,1899-12-30 04:38:01,2020-07-16,1899-12-30 04:47:58,51,5.37544012069702,"N",-6,18.8208808898926,"W",51,5.40035009384155,"N",-6,19.0373001098633,"W",NA,NA,NA,NA,0,1,"Comparative test tow","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,199,1,1,106.1,0
123,"CV20017",211,102,NA,2020-07-16,1899-12-30 05:39:00,2020-07-16,1899-12-30 05:48:59,51,5.25063991546631,"N",-6,11.9426298141479,"W",51,5.30928993225098,"N",-6,12.0986003875732,"W",NA,NA,NA,NA,0,0,"There is a weird shadow on top-centre of the image; maybe something attached to the sledge.
Big monkfish at 05:40:24","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,245,1,1,99.1,0
120,"CV20017",181,96.2,NA,2020-07-16,1899-12-30 06:31:00,2020-07-16,1899-12-30 06:40:59,51,2.25445008277893,"N",-6,8.06655979156494,"W",51,2.41421008110046,"N",-6,8.19359970092773,"W",NA,NA,NA,NA,0,1,"Shadow on top-centre of the screen. After stn we check if there is any loose cable. There is not. It might be something inside the Cathx camera. Because the SD camera is not showing the shadow.
Comparative test tow.","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,242,1,1,94.6,0
121,"CV20017",163,93.3,NA,2020-07-16,1899-12-30 07:44:00,2020-07-16,1899-12-30 07:53:58,51,1.20647001266479,"N",-6,1.52114999294281,"W",51,1.34627997875214,"N",-6,1.7739599943161,"W",NA,NA,NA,NA,0,1,"The shadow is not there anymore.
Comparative test tow.","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,222,1,1,92.6,0
124,"CV20017",200,95.6,NA,2020-07-16,1899-12-30 08:35:01,2020-07-16,1899-12-30 08:44:59,51,5.16117000579834,"N",-6,5.04966020584106,"W",51,5.21826982498169,"N",-6,5.27400016784668,"W",NA,NA,NA,NA,0,1,"Comparative test tow","Smalls",NA,NA,1,6,0,0,0,"R.V. Celtic Voyager","Good","Good","Good","Operational",NA,0,260,1,1,91,0
