survey,station,counter_ID,time,still_n,feature,x,y,annotation_time,VideoOperatorID,minute
REF_FOOTAGE,ref_fu22_2,FU22,00:56,705,BURROW,202,554.5,17/06/2020 10:35,999,1
REF_FOOTAGE,ref_fu22_2,FU22,01:05,825,BURROW,257,512.5,17/06/2020 10:35,999,2
REF_FOOTAGE,ref_fu22_2,FU22,01:44,1308,BURROW,432,574.5,17/06/2020 10:36,999,2
REF_FOOTAGE,ref_fu22_2,FU22,02:14,1678,BURROW,259,555.5,17/06/2020 10:36,999,3
REF_FOOTAGE,ref_fu22_2,FU22,02:37,1975,BURROW,937,533.5,17/06/2020 10:36,999,3
REF_FOOTAGE,ref_fu22_2,FU22,02:41,2017,BURROW,907,489.5,17/06/2020 10:40,999,3
REF_FOOTAGE,ref_fu22_2,FU22,02:50,2132,BURROW,263,557.5,17/06/2020 10:40,999,3
REF_FOOTAGE,ref_fu22_2,FU22,03:05,2317,BURROW,628,517.5,17/06/2020 10:41,999,4
REF_FOOTAGE,ref_fu22_2,FU22,03:33,2664,BURROW,169,586.5,17/06/2020 10:41,999,4
REF_FOOTAGE,ref_fu22_2,FU22,04:05,3070,BURROW,98,484.5,17/06/2020 10:39,999,5
REF_FOOTAGE,ref_fu22_2,FU22,04:46,3585,BURROW,759,548.5,17/06/2020 10:39,999,5
REF_FOOTAGE,ref_fu22_2,FU22,04:47,3589,BURROW,86,537.5,17/06/2020 10:39,999,5
REF_FOOTAGE,ref_fu22_2,FU22,06:01,4516,BURROW,525,509.5,17/06/2020 10:38,999,7
REF_FOOTAGE,ref_fu22_2,FU22,06:03,4541,BURROW,852,538.5,17/06/2020 10:38,999,7
REF_FOOTAGE,ref_fu22_2,FU22,06:08,4613,BURROW,89,489.5,17/06/2020 10:38,999,7
REF_FOOTAGE,ref_fu22_2,FU22,06:56,5207,BURROW,403,551.5,17/06/2020 10:37,999,7
REF_FOOTAGE,ref_fu22_2,FU22,07:18,5484,BURROW,919,521.5,17/06/2020 10:37,999,8
REF_FOOTAGE,ref_fu22_2,FU22,07:49,5868,BURROW,360,572.5,17/06/2020 10:37,999,8
