survey,station,counter_ID,time,still_n,feature,x,y,annotation_time,VideoOperatorID,minute
REF_FOOTAGE,ref_fu22_6,FU22,02:07,1598,BURROW,319,555.5,28/07/2020 17:17,999,3
REF_FOOTAGE,ref_fu22_6,FU22,02:28,1862,BURROW,809,478.5,28/07/2020 17:15,999,3
REF_FOOTAGE,ref_fu22_6,FU22,02:34,1934,BURROW,164,511.5,28/07/2020 17:15,999,3
REF_FOOTAGE,ref_fu22_6,FU22,02:38,1977,BURROW,682,567.5,28/07/2020 17:14,999,3
REF_FOOTAGE,ref_fu22_6,FU22,03:00,2254,BURROW,645,529.5,28/07/2020 17:12,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:10,2384,BURROW,765,563.5,28/07/2020 17:12,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:16,2452,BURROW,744,592.5,28/07/2020 17:11,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:23,2543,BURROW,483,613.5,28/07/2020 17:10,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:44,2801,BURROW,171,531.5,28/07/2020 17:08,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:48,2862,BURROW,639,485.5,28/07/2020 17:06,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:49,2872,BURROW,162,586.5,28/07/2020 17:06,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:52,2912,BURROW,847,613.5,28/07/2020 17:05,999,4
REF_FOOTAGE,ref_fu22_6,FU22,03:56,2961,BURROW,559,520.5,28/07/2020 17:05,999,4
REF_FOOTAGE,ref_fu22_6,FU22,04:06,3079,BURROW,854,611.5,28/07/2020 17:04,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:06,3088,BURROW,395,524.5,28/07/2020 17:04,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:19,3246,BURROW,314,581.5,28/07/2020 17:03,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:20,3259,BURROW,231,572.5,28/07/2020 17:03,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:27,3349,BURROW,669,568.5,28/07/2020 17:02,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:37,3464,BURROW,682,607.5,28/07/2020 17:02,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:37,3464,BURROW,1095,402.5,28/07/2020 17:02,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:38,3480,BURROW,489,558.5,28/07/2020 17:01,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:40,3506,BURROW,701,556.5,28/07/2020 17:01,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:46,3576,BURROW,687,637.5,28/07/2020 17:00,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:48,3606,BURROW,699,532.5,28/07/2020 17:00,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:52,3653,BURROW,299,472.5,28/07/2020 16:59,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:56,3706,BURROW,377,573.5,28/07/2020 16:58,999,5
REF_FOOTAGE,ref_fu22_6,FU22,04:57,3720,BURROW,568,552.5,28/07/2020 16:58,999,5
REF_FOOTAGE,ref_fu22_6,FU22,05:03,3789,BURROW,661,554.5,28/07/2020 16:58,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:06,3832,BURROW,788,533.5,28/07/2020 16:57,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:16,3954,BURROW,473,459.5,28/07/2020 16:55,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:17,3973,BURROW,248,556.5,28/07/2020 16:55,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:19,3990,BURROW,687,557.5,28/07/2020 16:55,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:27,4099,BURROW,197,545.5,28/07/2020 16:54,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:28,4111,BURROW,390,565.5,28/07/2020 16:54,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:35,4192,BURROW,1054,493.5,28/07/2020 16:52,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:36,4206,BURROW,647,608.5,28/07/2020 16:52,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:37,4224,BURROW,201,581.5,28/07/2020 16:52,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:38,4232,BURROW,90,598.5,28/07/2020 16:52,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:40,4255,BURROW,1157,478.5,28/07/2020 16:51,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:44,4306,BURROW,119,539.5,28/07/2020 16:50,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:45,4318,BURROW,228,587.5,28/07/2020 16:50,999,6
REF_FOOTAGE,ref_fu22_6,FU22,05:59,4499,BURROW,425,545.5,28/07/2020 16:42,999,6
REF_FOOTAGE,ref_fu22_6,FU22,06:00,4513,BURROW,237,545.5,28/07/2020 16:43,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:03,4542,BURROW,517,608.5,28/07/2020 16:43,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:05,4565,BURROW,245,499.5,28/07/2020 16:44,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:06,4576,BURROW,132,597.5,28/07/2020 16:45,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:06,4576,BURROW,888,471.5,28/07/2020 16:45,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:07,4599,BURROW,767,514.5,28/07/2020 16:46,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:19,4750,BURROW,548,574.5,28/07/2020 16:41,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:20,4762,BURROW,332,619.5,28/07/2020 16:41,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:21,4773,BURROW,446,550.5,28/07/2020 16:41,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:25,4814,BURROW,280,449.5,28/07/2020 16:40,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:25,4817,BURROW,1179,618.5,28/07/2020 16:40,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:32,4906,BURROW,632,553.5,28/07/2020 16:38,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:33,4918,BURROW,837,618.5,28/07/2020 16:37,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:35,4943,BURROW,549,525.5,28/07/2020 16:34,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:37,4966,BURROW,271,602.5,28/07/2020 16:33,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:40,5001,BURROW,131,631.5,28/07/2020 16:32,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:40,5005,BURROW,940,610.5,28/07/2020 16:32,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:44,5058,BURROW,885,515.5,28/07/2020 16:30,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:44,5063,BURROW,912,604.5,28/07/2020 16:31,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:45,5065,BURROW,35,563.5,28/07/2020 16:31,999,7
REF_FOOTAGE,ref_fu22_6,FU22,06:49,5124,BURROW,542,548.5,28/07/2020 16:30,999,7
REF_FOOTAGE,ref_fu22_6,FU22,07:02,5280,BURROW,901,518.5,28/07/2020 16:29,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:03,5292,BURROW,783,543.5,28/07/2020 16:28,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:04,5301,BURROW,1013,613.5,28/07/2020 16:28,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:17,5470,BURROW,820,284.5,28/07/2020 16:25,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:18,5488,BURROW,1019,359.5,28/07/2020 16:25,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:19,5497,BURROW,168,565.5,28/07/2020 16:25,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:21,5521,BURROW,963,433.5,28/07/2020 16:24,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:23,5543,BURROW,927,520.5,28/07/2020 16:24,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:23,5543,BURROW,100,481.5,28/07/2020 16:24,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:24,5551,BURROW,434,615.5,28/07/2020 16:23,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:26,5578,BURROW,732,487.5,28/07/2020 16:22,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:27,5599,BURROW,264,586.5,28/07/2020 16:22,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:29,5619,BURROW,656,515.5,28/07/2020 16:01,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:33,5672,BURROW,538,538.5,28/07/2020 16:01,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:34,5683,BURROW,565,495.5,28/07/2020 16:00,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:35,5691,BURROW,702,629.5,28/07/2020 16:00,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:35,5696,BURROW,139,482.5,28/07/2020 15:59,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:37,5715,BURROW,902,394.5,28/07/2020 15:58,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:39,5742,BURROW,705,514.5,28/07/2020 15:59,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:39,5745,BURROW,257,418.5,28/07/2020 15:59,999,8
REF_FOOTAGE,ref_fu22_6,FU22,07:43,5796,BURROW,368,587.5,28/07/2020 15:57,999,8
